GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
3253.300049;83841.66667;147.6766663;145964.3333;816.6999919;5.699999968;43.0333341;8605.5492;2468.6407;2698.822;16779.3515;18941.1184;5268.0858;12791;321892;396728;1724;2303.7;562932;206426;24408
3267.600098;84797.33333;149.1833344;146719.6667;830.2666626;6.603333473;43.93333435;8784.769;2469.7663;2706.937;16877.4039;19059.133;5224.2468;12791;324804;397376;1733.6;2329.3;578424;208321;24836
3264.300049;85330.33333;150.0566661;147478.3333;843.1333211;8.323333422;44.80000051;8762.6003;2473.1021;2710.402;16984.8801;19294.983;5250.2933;13040;325904;398052;1740.4;2351.9;597588;208346;25204
3289.100098;86236;150.9133352;148226;854.6666667;7.499999841;45.93333308;8889.8302;2475.4756;2707.585;17084.2335;19442.6993;5292.3558;13040;334792;393472;1748.4;2378.8;607696;210189;25645
3259.399902;86709.33333;151.2699992;148986.6667;870.7666626;7.616666635;47.29999924;9001.7778;2471.1655;2697.768;17176.2221;19588.2699;5254.7793;13056;338124;383204;1752.4;2402.5;620980;204991;26113
3267.600098;86833.66667;150.8000031;149746.6667;881.6666667;8.153333187;48.56666565;9090.7063;2478.8512;2682.932;17214.4324;19592.34;5253.5669;13056;340080;391424;1744;2410.8;622052;206565;26394
3239.100098;87079;151.4433339;150498;891.4666545;8.190000216;49.93333308;9180.2779;2487.4593;2666.386;17183.3529;19532.4844;5218.6454;13102;342136;395212;1743.6;2439;618708;209169;26581
3226.399902;86588.33333;150.0500031;151253;904.7333374;7.359999975;51.46666718;9225.4808;2482.4336;2645.54;17094.9932;19690.8457;5219.1527;13102;344600;388856;1719.6;2402.6;605988;207909;26629
3154;85356.66667;146.4833323;151987.3333;921.2666626;5.75;52.56666565;9162.4839;2473.7452;2623.209;17062.9199;19856.4144;5199.4701;12938;344236;390240;1696.8;2386;598072;207604;26544
3190.399902;85331.66667;145.4933319;152707.6667;955;5.393333435;53.19999949;9267.2008;2469.9714;2606.423;17039.4153;19623.9938;5215.7127;12938;347468;385536;1708.4;2395.5;596464;212460;26464
3249.899902;86135.66667;146.7333323;153579;989.7333374;6.330000083;54.26666641;9312.178;2463.8462;2592.394;17037.5983;19640.9505;5236.6431;12799;352636;384464;1726.8;2407;598924;214823;26532
3292.5;86497;148.5299988;154336.3333;1014.233337;5.626666705;55.26666641;9393.9198;2457.4318;2584.036;17104.0522;19742.5081;5239.1188;12756;356112;387228;1744.8;2439.5;612448;217300;26750
3356.699951;87685.66667;150.6166636;155075;1046.266683;4.916666667;55.90000025;9454.6711;2450.3255;2583.066;17182.9156;19560.6894;5267.4846;12654;364252;395564;1782.8;2470.6;622848;219348;27031
3369.199951;88591;151.1233368;155773.6667;1078.800008;5.156666597;56.40000025;9452.955;2448.6061;2586.94;17280.047;19772.9593;5241.0074;12617;372560;393188;1804.4;2502.1;634088;220839;27312
3381;89163;151.7966665;156526.6667;1108.366659;5.149999936;57.29999924;9502.5239;2447.6431;2589.774;17370.3352;20112.8798;5280.6635;12581;375124;396632;1813.6;2520;644608;223686;27594
3416.300049;89570.33333;152.7599996;157222;1149.466634;4.673333327;58.13333384;9499.0274;2450.9185;2591.634;17423.6833;19984.1561;5292.549;12621;374816;405056;1840;2543.8;660956;224237;27864
3466.399902;90359.33333;153.9033356;157910.6667;1188.266683;4.629999955;59.19999949;9549.8774;2451.2563;2588.98;17464.0227;20103.1564;5312.5219;12621;381040;404664;1846.8;2571.3;669508;229667;28080
3525;91661.33333;156.3700002;158652.3333;1220.866659;4.839999994;60.23333359;9629.6722;2451.1308;2588.216;17477.0387;20315.1698;5334.5994;12652;382472;403584;1849.2;2580.1;661720;231358;28194
3574.399902;92409;158.1966654;159429.6667;1250.500041;5.49666659;61.06666565;9682.9635;2452.5819;2592.453;17532.784;19946.0624;5354.3309;12633;384924;406844;1865.2;2600;660752;232789;28257
3567.199951;93639.33333;159.7533366;160140.3333;1278.233317;6.109999975;61.9666659;9745.9965;2455.002;2598.091;17604.3746;19881.5762;5366.8213;12630;392052;412916;1883.6;2608.1;657700;236213;28388
3591.800049;94552.66667;160.6633301;160828.6667;1302;6.393333276;63.0333341;9818.238;2461.548;2603.399;17604.9423;20083.4136;5377.5151;12530;395840;415368;1894.8;2638.3;667868;239944;28551
